client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
4,0.327238,0.896423,6.628967,0.157600,113,17.0
0,0.162260,0.961290,7.987248,0.100000,114,3.0
5,0.882065,0.692308,6.193240,0.179100,115,2.0
6,0.907403,0.570642,7.516318,0.100000,116,5.0
1,0.453800,0.871795,5.510563,0.158700,117,8.0
7,0.102208,0.979300,11.664884,0.100000,118,15.0
5,1.085318,0.538462,5.677359,0.167900,119,3.0
2,1.126218,0.599853,4.768495,0.214500,120,34.0
0,0.275191,0.961290,12.926248,0.100000,121,6.0
3,1.184433,0.426297,4.431692,0.190200,122,22.0
5,1.624325,0.307692,3.046471,0.206300,123,2.0
6,0.971632,0.497248,9.058925,0.100000,124,5.0
1,0.547901,0.853057,6.860769,0.153400,125,6.0
5,0.941506,0.615385,4.744555,0.176200,126,2.0
0,0.954181,0.961290,3.900106,0.100000,127,4.0
5,1.149780,0.769231,4.580055,0.173700,128,1.0
7,0.103427,0.979300,10.358653,0.100000,129,10.0
6,0.845446,0.555963,6.051762,0.100000,130,5.0
4,0.318017,0.889580,6.685461,0.100000,131,17.0
0,0.181315,0.961290,9.657399,0.100000,132,4.0
5,0.859473,0.692308,5.093567,0.177600,133,4.0
1,0.472075,0.879684,6.197538,0.162700,134,8.0
6,0.879118,0.541284,6.666208,0.100000,135,4.0
5,3.261648,0.000000,3.088078,0.173000,136,1.0
0,0.158223,0.961290,7.957758,0.100000,137,2.0
5,2.065512,0.000000,2.745481,0.195100,138,1.0
3,1.125169,0.499230,4.303654,0.177300,139,16.0
1,0.425876,0.884615,5.777197,0.145600,140,5.0
6,0.892805,0.559633,6.681946,0.100000,141,4.0
5,1.686966,0.230769,3.237990,0.177700,142,3.0
7,0.102466,0.979300,11.031524,0.100000,143,13.0
0,0.182410,0.961290,9.043957,0.120400,144,6.0
5,1.486706,0.615385,3.110262,0.179100,145,2.0
5,1.096007,0.615385,4.266921,0.176800,146,0.0
6,0.823740,0.583486,6.328662,0.100000,147,4.0
0,0.242428,0.961290,14.055293,0.100000,148,3.0
4,0.323335,0.899533,7.141876,0.104300,149,14.0
1,0.465655,0.872781,5.217939,0.150000,150,9.0
5,0.615820,0.769231,6.956548,0.179500,151,4.0
2,1.087744,0.607831,4.940531,0.225400,152,31.0
7,0.102109,0.979300,10.124204,0.100000,153,9.0
5,1.021386,0.769231,5.254140,0.177200,154,2.0
6,0.847651,0.577982,5.329281,0.116700,155,7.0
3,1.068523,0.544171,5.551906,0.168100,156,16.0
0,0.166879,0.961290,9.716991,0.158900,157,8.0
5,0.991907,0.846154,4.109674,0.177000,158,3.0
1,0.444854,0.881657,5.351460,0.162700,159,7.0
6,0.928807,0.513761,8.862297,0.100000,160,2.0
5,2.776649,0.000000,3.012752,0.171600,161,1.0
0,0.208337,0.961290,15.339639,0.100000,162,4.0
5,1.685482,0.230769,2.984480,0.178100,163,1.0
7,0.104680,0.979300,10.965413,0.100000,164,10.0
4,0.321632,0.900467,7.995673,0.146700,165,15.0
1,0.439588,0.877712,6.044369,0.158300,166,6.0
0,0.123348,0.967742,8.132564,0.149200,167,4.0
6,0.845206,0.566972,6.420595,0.100000,168,6.0
5,1.299698,0.692308,3.552732,0.176700,169,5.0
5,1.309163,0.615385,3.688683,0.174400,170,0.0
