time_sec,epoch,train_loss,val_acc,test_acc,lr,wd,batch,seed
14.225,1,2.302686,0.097300,0.099900,0.050000,0.000500,128,42
23.881,2,2.302470,0.121900,0.117300,0.050000,0.000500,128,42
33.541,3,2.300212,0.122800,0.119100,0.050000,0.000500,128,42
43.489,4,2.297904,0.136900,0.130200,0.050000,0.000500,128,42
53.692,5,2.294054,0.134700,0.133700,0.050000,0.000500,128,42
64.173,6,2.291973,0.140500,0.133900,0.050000,0.000500,128,42
74.582,7,2.290196,0.151100,0.148000,0.050000,0.000500,128,42
84.850,8,2.284972,0.148200,0.148100,0.050000,0.000500,128,42
95.611,9,2.264188,0.162100,0.163400,0.050000,0.000500,128,42
106.067,10,2.251254,0.175100,0.176300,0.050000,0.000500,128,42
115.920,11,2.211736,0.135800,0.136100,0.050000,0.000500,128,42
124.943,12,2.204092,0.165800,0.171600,0.050000,0.000500,128,42
134.772,13,2.196891,0.175500,0.182000,0.050000,0.000500,128,42
144.069,14,2.198772,0.181700,0.185200,0.050000,0.000500,128,42
154.430,15,2.196191,0.168300,0.174600,0.050000,0.000500,128,42
163.525,16,2.191440,0.182900,0.184500,0.050000,0.000500,128,42
172.576,17,2.192205,0.183500,0.183200,0.050000,0.000500,128,42
182.367,18,2.191432,0.175600,0.181200,0.050000,0.000500,128,42
192.138,19,2.185679,0.177800,0.180000,0.050000,0.000500,128,42
201.982,20,2.185297,0.188900,0.193200,0.050000,0.000500,128,42
211.490,21,2.183901,0.185400,0.189000,0.050000,0.000500,128,42
221.278,22,2.178424,0.192300,0.196100,0.050000,0.000500,128,42
230.903,23,2.178932,0.206200,0.209900,0.050000,0.000500,128,42
240.964,24,2.174498,0.209200,0.211100,0.050000,0.000500,128,42
250.864,25,2.176408,0.186200,0.193100,0.050000,0.000500,128,42
260.216,26,2.173842,0.208300,0.212700,0.050000,0.000500,128,42
270.108,27,2.171438,0.208200,0.213000,0.050000,0.000500,128,42
279.715,28,2.171639,0.214000,0.220300,0.050000,0.000500,128,42
289.579,29,2.176593,0.210500,0.216500,0.050000,0.000500,128,42
298.938,30,2.170048,0.200200,0.206500,0.050000,0.000500,128,42
308.713,31,2.180697,0.147200,0.149600,0.050000,0.000500,128,42
318.414,32,2.177750,0.214600,0.216300,0.050000,0.000500,128,42
328.113,33,2.175257,0.181000,0.185000,0.050000,0.000500,128,42
337.522,34,2.172967,0.165400,0.170900,0.050000,0.000500,128,42
346.978,35,2.171164,0.215500,0.218600,0.050000,0.000500,128,42
356.643,36,2.169705,0.173700,0.182100,0.050000,0.000500,128,42
367.514,37,2.172143,0.185400,0.192700,0.050000,0.000500,128,42
378.489,38,2.172700,0.195900,0.200200,0.050000,0.000500,128,42
389.230,39,2.167356,0.204800,0.210300,0.050000,0.000500,128,42
400.136,40,2.167700,0.184300,0.190800,0.050000,0.000500,128,42
410.866,41,2.167077,0.187600,0.194400,0.050000,0.000500,128,42
421.814,42,2.187745,0.145700,0.150100,0.050000,0.000500,128,42
432.704,43,2.172722,0.204400,0.203300,0.050000,0.000500,128,42
444.754,44,2.170568,0.178500,0.187300,0.050000,0.000500,128,42
456.571,45,2.185126,0.205300,0.207900,0.050000,0.000500,128,42
468.741,46,2.172918,0.179400,0.189400,0.050000,0.000500,128,42
479.054,47,2.221927,0.174100,0.179800,0.050000,0.000500,128,42
488.981,48,2.183829,0.197900,0.200800,0.050000,0.000500,128,42
497.982,49,2.170923,0.208500,0.211600,0.050000,0.000500,128,42
505.431,50,2.171255,0.204000,0.207200,0.050000,0.000500,128,42
