time_sec,epoch,train_loss,val_acc,test_acc,lr,wd,batch,seed
395.751,33,1.422623,0.652700,0.643100,0.050000,0.000500,128,42
410.118,34,1.416130,0.634200,0.638000,0.050000,0.000500,128,42
424.396,35,1.418181,0.638100,0.632200,0.050000,0.000500,128,42
438.555,36,1.411046,0.612900,0.609900,0.050000,0.000500,128,42
452.796,37,1.400027,0.655500,0.656400,0.050000,0.000500,128,42
466.762,38,1.401208,0.597900,0.600400,0.050000,0.000500,128,42
481.309,39,1.395022,0.627500,0.622600,0.050000,0.000500,128,42
495.873,40,1.382496,0.625800,0.619500,0.050000,0.000500,128,42
509.914,41,1.375854,0.641700,0.630300,0.050000,0.000500,128,42
524.014,42,1.362224,0.674200,0.670500,0.050000,0.000500,128,42
538.076,43,1.366618,0.663800,0.659000,0.050000,0.000500,128,42
552.061,44,1.367564,0.650300,0.650900,0.050000,0.000500,128,42
566.019,45,1.366759,0.652300,0.646100,0.050000,0.000500,128,42
580.077,46,1.352864,0.651500,0.654000,0.050000,0.000500,128,42
593.862,47,1.358434,0.681900,0.675400,0.050000,0.000500,128,42
607.981,48,1.348271,0.649500,0.653200,0.050000,0.000500,128,42
621.775,49,1.348536,0.679500,0.679100,0.050000,0.000500,128,42
635.856,50,1.343507,0.696600,0.698300,0.050000,0.000500,128,42
649.917,51,1.330515,0.665500,0.667000,0.050000,0.000500,128,42
664.090,52,1.344278,0.695200,0.694700,0.050000,0.000500,128,42
678.023,53,1.338516,0.672700,0.676300,0.050000,0.000500,128,42
692.320,54,1.330955,0.661000,0.670700,0.050000,0.000500,128,42
707.747,55,1.330185,0.689700,0.691500,0.050000,0.000500,128,42
721.932,56,1.328303,0.683100,0.684000,0.050000,0.000500,128,42
736.020,57,1.311295,0.673300,0.672400,0.050000,0.000500,128,42
749.771,58,1.319234,0.687600,0.682800,0.050000,0.000500,128,42
763.934,59,1.318278,0.654000,0.652100,0.050000,0.000500,128,42
778.273,60,1.321479,0.680600,0.680700,0.050000,0.000500,128,42
792.193,61,1.163605,0.749500,0.757000,0.050000,0.000500,128,42
806.402,62,1.125156,0.758900,0.755900,0.050000,0.000500,128,42
820.337,63,1.105412,0.759500,0.756100,0.050000,0.000500,128,42
834.641,64,1.096934,0.759800,0.760400,0.050000,0.000500,128,42
848.789,65,1.089898,0.758000,0.757200,0.050000,0.000500,128,42
862.811,66,1.091786,0.769100,0.767000,0.050000,0.000500,128,42
876.791,67,1.082429,0.768800,0.770600,0.050000,0.000500,128,42
890.743,68,1.075061,0.766600,0.765600,0.050000,0.000500,128,42
904.822,69,1.072735,0.769300,0.770200,0.050000,0.000500,128,42
918.822,70,1.063018,0.771600,0.771500,0.050000,0.000500,128,42
932.690,71,1.063343,0.774500,0.773800,0.050000,0.000500,128,42
946.683,72,1.058042,0.769800,0.771100,0.050000,0.000500,128,42
960.739,73,1.055028,0.776600,0.779700,0.050000,0.000500,128,42
974.934,74,1.050284,0.773600,0.772600,0.050000,0.000500,128,42
989.126,75,1.050893,0.779500,0.778400,0.050000,0.000500,128,42
1003.242,76,1.046147,0.777500,0.778000,0.050000,0.000500,128,42
1017.585,77,1.047916,0.779800,0.783900,0.050000,0.000500,128,42
1031.589,78,1.039956,0.778100,0.779700,0.050000,0.000500,128,42
1045.571,79,1.040337,0.783100,0.787800,0.050000,0.000500,128,42
1059.776,80,1.035648,0.782100,0.778300,0.050000,0.000500,128,42
1073.923,81,1.019511,0.791600,0.791200,0.050000,0.000500,128,42
1087.936,82,1.014109,0.790800,0.792300,0.050000,0.000500,128,42
1102.023,83,1.012000,0.792000,0.794600,0.050000,0.000500,128,42
1116.100,84,1.012111,0.791400,0.793700,0.050000,0.000500,128,42
1130.128,85,1.007397,0.791600,0.793900,0.050000,0.000500,128,42
1144.427,86,1.005808,0.790600,0.792100,0.050000,0.000500,128,42
1158.268,87,1.008080,0.791000,0.794800,0.050000,0.000500,128,42
1172.266,88,1.002770,0.790100,0.794800,0.050000,0.000500,128,42
1186.318,89,1.002813,0.790000,0.794100,0.050000,0.000500,128,42
