time_sec,epoch,train_loss,val_acc,test_acc,lr,wd,batch,seed
8.811,1,2.300218,0.097300,0.100000,0.100000,0.000500,128,42
18.060,2,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
27.667,3,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
37.273,4,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
47.122,5,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
57.388,6,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
67.792,7,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
78.159,8,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
88.510,9,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
99.172,10,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
109.529,11,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
119.315,12,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
128.283,13,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
137.917,14,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
147.156,15,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
157.340,16,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
166.334,17,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
175.308,18,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
184.829,19,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
194.230,20,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
203.606,21,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
212.602,22,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
221.815,23,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
231.006,24,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
240.467,25,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
249.953,26,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
258.895,27,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
268.303,28,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
277.805,29,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
287.139,30,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
296.396,31,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
305.989,32,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
315.618,33,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
324.678,34,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
334.238,35,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
343.334,36,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
352.483,37,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
361.896,38,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
373.306,39,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
383.992,40,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
394.247,41,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
404.959,42,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
415.346,43,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
426.141,44,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
436.802,45,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
448.610,46,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
460.662,47,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
472.510,48,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
482.802,49,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
492.601,50,2.302585,0.097300,0.100000,0.100000,0.000500,128,42
