time_sec,epoch,train_loss,val_acc,test_acc,lr,wd,batch,seed
15.040,1,2.292041,0.161400,0.163900,0.050000,0.000500,128,42
29.187,2,2.209558,0.174600,0.179500,0.050000,0.000500,128,42
43.083,3,2.114992,0.231300,0.226900,0.050000,0.000500,128,42
57.321,4,2.042742,0.275400,0.277600,0.050000,0.000500,128,42
71.617,5,1.945386,0.285800,0.283700,0.050000,0.000500,128,42
85.709,6,1.889887,0.340900,0.344000,0.050000,0.000500,128,42
100.184,7,1.845399,0.395100,0.394800,0.050000,0.000500,128,42
113.921,8,1.805803,0.435700,0.429400,0.050000,0.000500,128,42
128.215,9,1.774498,0.427100,0.422000,0.050000,0.000500,128,42
142.427,10,1.745078,0.452800,0.442600,0.050000,0.000500,128,42
156.551,11,1.708263,0.445900,0.439600,0.050000,0.000500,128,42
170.864,12,1.676261,0.507000,0.502500,0.050000,0.000500,128,42
185.038,13,1.632374,0.505100,0.504800,0.050000,0.000500,128,42
199.223,14,1.646743,0.468700,0.457000,0.050000,0.000500,128,42
213.348,15,1.611503,0.530000,0.533400,0.050000,0.000500,128,42
227.505,16,1.593698,0.543200,0.540800,0.050000,0.000500,128,42
241.869,17,1.574145,0.554700,0.553600,0.050000,0.000500,128,42
256.081,18,1.568157,0.489700,0.492500,0.050000,0.000500,128,42
270.507,19,1.566873,0.584400,0.576800,0.050000,0.000500,128,42
284.407,20,1.531092,0.563000,0.553500,0.050000,0.000500,128,42
298.917,21,1.534088,0.526900,0.523800,0.050000,0.000500,128,42
313.202,22,1.513728,0.601800,0.593400,0.050000,0.000500,128,42
327.726,23,1.499919,0.595100,0.586900,0.050000,0.000500,128,42
341.771,24,1.496069,0.602600,0.599300,0.050000,0.000500,128,42
355.825,25,1.485262,0.622000,0.616800,0.050000,0.000500,128,42
369.868,26,1.481149,0.612800,0.609300,0.050000,0.000500,128,42
383.839,27,1.475321,0.592500,0.588100,0.050000,0.000500,128,42
397.811,28,1.469463,0.623700,0.618600,0.050000,0.000500,128,42
411.795,29,1.465776,0.617300,0.625600,0.050000,0.000500,128,42
425.766,30,1.453729,0.597500,0.598400,0.050000,0.000500,128,42
439.730,31,1.429473,0.634700,0.633400,0.050000,0.000500,128,42
453.813,32,1.449074,0.619200,0.621700,0.050000,0.000500,128,42
467.795,33,1.422623,0.652700,0.643100,0.050000,0.000500,128,42
482.019,34,1.416130,0.634200,0.638000,0.050000,0.000500,128,42
495.904,35,1.418181,0.638100,0.632200,0.050000,0.000500,128,42
509.673,36,1.411046,0.612900,0.609900,0.050000,0.000500,128,42
525.337,37,1.400027,0.655500,0.656400,0.050000,0.000500,128,42
539.710,38,1.401208,0.597900,0.600400,0.050000,0.000500,128,42
553.553,39,1.395022,0.627500,0.622600,0.050000,0.000500,128,42
567.558,40,1.382496,0.625800,0.619500,0.050000,0.000500,128,42
581.807,41,1.375854,0.641700,0.630300,0.050000,0.000500,128,42
596.176,42,1.362224,0.674200,0.670500,0.050000,0.000500,128,42
610.268,43,1.366618,0.663800,0.659000,0.050000,0.000500,128,42
624.242,44,1.367564,0.650300,0.650900,0.050000,0.000500,128,42
638.363,45,1.366759,0.652300,0.646100,0.050000,0.000500,128,42
652.540,46,1.352864,0.651500,0.654000,0.050000,0.000500,128,42
666.747,47,1.358434,0.681900,0.675400,0.050000,0.000500,128,42
680.691,48,1.348271,0.649500,0.653200,0.050000,0.000500,128,42
694.795,49,1.348536,0.679500,0.679100,0.050000,0.000500,128,42
708.675,50,1.343507,0.696600,0.698300,0.050000,0.000500,128,42
722.863,51,1.330515,0.665500,0.667000,0.050000,0.000500,128,42
736.771,52,1.344278,0.695200,0.694700,0.050000,0.000500,128,42
750.705,53,1.338516,0.672700,0.676300,0.050000,0.000500,128,42
764.561,54,1.330955,0.661000,0.670700,0.050000,0.000500,128,42
778.710,55,1.330185,0.689700,0.691500,0.050000,0.000500,128,42
792.751,56,1.328303,0.683100,0.684000,0.050000,0.000500,128,42
806.865,57,1.311295,0.673300,0.672400,0.050000,0.000500,128,42
821.138,58,1.319234,0.687600,0.682800,0.050000,0.000500,128,42
835.279,59,1.318278,0.654000,0.652100,0.050000,0.000500,128,42
849.505,60,1.321479,0.680600,0.680700,0.050000,0.000500,128,42
863.509,61,1.163605,0.749500,0.757000,0.050000,0.000500,128,42
877.606,62,1.125156,0.758900,0.755900,0.050000,0.000500,128,42
891.741,63,1.105412,0.759500,0.756100,0.050000,0.000500,128,42
905.837,64,1.096934,0.759800,0.760400,0.050000,0.000500,128,42
919.897,65,1.089898,0.758000,0.757200,0.050000,0.000500,128,42
933.994,66,1.091786,0.769100,0.767000,0.050000,0.000500,128,42
948.045,67,1.082429,0.768800,0.770600,0.050000,0.000500,128,42
