lr,batch_size,weight_decay,optimizer,momentum,best_test_acc,best_epoch,final_test_acc,final_train_acc
0.001,32,0.0,adam,0.0,92.06,44,91.64,98.624
0.001,32,0.0,sgd,0.9,89.29,49,89.0,96.482
