client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
13,2.158182,0.180169,2.293803,0.096000,113,4.0
2,2.305229,0.107711,2.293567,0.100000,114,0.0
18,2.146938,0.182217,2.293400,0.100200,115,1.0
12,2.318076,0.092037,2.293366,0.100100,116,2.0
10,2.304588,0.095732,2.293267,0.099200,117,3.0
15,2.107861,0.196897,2.293096,0.099300,118,4.0
17,2.303434,0.095103,2.293047,0.098100,119,4.0
1,2.195427,0.163052,2.292792,0.099400,120,0.0
0,2.232100,0.155839,2.292647,0.101100,121,1.0
9,2.367328,0.111829,2.292697,0.101700,122,2.0
19,2.252272,0.145433,2.292728,0.100500,123,3.0
16,2.247251,0.129902,2.292740,0.101300,124,4.0
4,2.115590,0.172699,2.291408,0.101600,125,0.0
6,2.141791,0.186931,2.291067,0.101300,126,1.0
3,2.304502,0.104754,2.290945,0.101900,127,2.0
5,2.142735,0.187449,2.290822,0.103500,128,3.0
8,2.189890,0.165354,2.290762,0.103800,129,4.0
2,2.305658,0.100954,2.290473,0.103900,130,0.0
14,2.304079,0.094271,2.290373,0.102800,131,1.0
11,2.305120,0.101200,2.290212,0.102000,132,2.0
7,2.099547,0.203458,2.290023,0.102100,133,3.0
13,2.140304,0.178154,2.289879,0.102200,134,4.0
18,2.169262,0.161085,2.289798,0.102000,135,4.0
15,2.338372,0.128083,2.289730,0.102500,136,0.0
12,2.127305,0.184874,2.289401,0.101800,137,1.0
17,2.332768,0.118980,2.289223,0.101800,138,2.0
10,2.303700,0.097726,2.289121,0.102000,139,3.0
16,2.084587,0.202614,2.288883,0.102100,140,4.0
0,2.084272,0.195282,2.287764,0.101700,141,0.0
19,2.162113,0.174279,2.287433,0.103000,142,1.0
9,2.155215,0.172790,2.287190,0.102800,143,2.0
1,2.226724,0.160643,2.287042,0.103000,144,3.0
5,2.181511,0.172470,2.286947,0.102700,145,4.0
2,2.106359,0.200715,2.285911,0.104000,146,0.0
