client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
15,0.650351920489366,0.8417074255224545,0.6461771589059097,0.8417074255224545,135,4.0
19,1.5585633610649932,0.4633093525179856,1.5700765470806644,0.4633093525179856,136,4.0
0,1.1613869163090598,0.6431137724550898,1.1585792418725476,0.6431137724550898,137,2.0
3,0.9008155948237369,0.6980263157894737,0.8994182850185194,0.6973684210526315,138,1.0
17,1.0948240819235027,0.5166970248937462,1.0900758719835124,0.5109289617486339,139,4.0
4,0.6887767203625579,0.7561094819159335,0.6890528241288355,0.7583903551645487,140,6.0
18,1.0316511064491147,0.7082958969751423,1.0238954342207747,0.7082958969751423,141,4.0
6,0.6508720050655733,0.8528693528693528,0.6485357790348439,0.8528693528693528,142,4.0
7,1.6941575942720686,0.6685714285714286,1.6869366080420358,0.7057142857142857,143,4.0
10,0.6909876550946917,0.9035714285714286,0.6964501193591527,0.9035714285714286,144,4.0
11,2.0574517250061035,0.03125,2.0960798263549805,0.0,145,2.0
2,1.1368384989932996,0.5901741293532339,1.1450019321631437,0.582089552238806,146,4.0
16,0.7526939563229318,0.6199429242907504,0.7542548843512343,0.6147389625650496,147,5.0
12,0.10768996211427412,0.9920462762111352,0.10742343059287757,0.9920462762111352,148,3.0
5,0.12225407252491784,0.9832535885167464,0.12130553743363405,0.9832535885167464,149,4.0
14,1.4473091542251466,0.45866141732283466,1.4403868434936042,0.4547244094488189,150,4.0
8,1.2858308280756223,0.4849911712772219,1.2854244231195433,0.48322542672160096,151,4.0
9,0.8738149743317605,0.7614509683369197,0.8743225186559336,0.7636028281586228,152,4.0
13,1.095593723650434,0.6321273516642547,1.100402531368515,0.6269175108538351,153,3.0
1,0.5865825823920683,0.8161559888579387,0.5888788235695107,0.817349781138082,154,4.0
15,0.6377022320188486,0.8417074255224545,0.642369849873204,0.8417074255224545,155,4.0
19,1.5659470568457954,0.4633093525179856,1.5682851256226464,0.4633093525179856,156,4.0
0,1.155982395845973,0.6431137724550898,1.1569866575880678,0.6431137724550898,157,3.0
3,0.8967629112695393,0.6973684210526315,0.8984951056932148,0.6973684210526315,158,3.0
17,1.0831374996129715,0.52367941712204,1.0753730681714102,0.5358227079538554,159,4.0
18,1.02903122739829,0.7094938604372567,1.0229373906821897,0.7085953878406709,160,3.0
6,0.63856318982384,0.8528693528693528,0.6398230878424732,0.8528693528693528,161,3.0
7,1.6456846972874233,0.6942857142857143,1.6508187069211688,0.7114285714285714,162,3.0
4,0.6775791848393363,0.7645812968393614,0.6784524329907345,0.7652329749103942,163,6.0
10,0.7229043143136161,0.9035714285714286,0.7214771117482867,0.9035714285714286,164,4.0
11,2.0093812942504883,0.125,1.9589872360229492,0.09375,165,4.0
2,1.140770534970867,0.5920398009950248,1.1387264372697516,0.5960820895522388,166,3.0
12,0.11961246189740113,0.9920462762111352,0.11892519997929803,0.9920462762111352,167,3.0
16,0.745257689205616,0.6431089474567735,0.7467862480295491,0.6340439818700688,168,5.0
14,1.4341609074374821,0.453740157480315,1.434531531934663,0.4566929133858268,169,3.0
5,0.12418604057004659,0.9832535885167464,0.12256634425848051,0.9832535885167464,170,4.0
8,1.2850588416969024,0.48675691583284286,1.286243122068835,0.48822836962919364,171,4.0
9,0.8490690584736826,0.7522287119581924,0.8484064211231211,0.7540731632339379,172,4.0
13,1.0970733722971076,0.6344428364688857,1.0915398462808943,0.640231548480463,173,4.0
15,0.6355242904105044,0.8417074255224545,0.6342639583860731,0.8417074255224545,174,3.0
19,1.5561512905916721,0.4633093525179856,1.5435553672502367,0.4633093525179856,175,3.0
1,0.5728860598515573,0.8203342618384402,0.575052558830237,0.8189415041782729,176,5.0
0,1.1473785703053732,0.6431137724550898,1.1411033690332653,0.6431137724550898,177,3.0
3,0.8976745919177407,0.6973684210526315,0.895986819267273,0.6973684210526315,178,3.0
17,1.071378674301583,0.5324833029751063,1.0721431484205042,0.5406800242865817,179,4.0
18,1.0311969513127675,0.7097933513027853,1.0303616546949037,0.7100928421683139,180,4.0
6,0.6423287969514709,0.8528693528693528,0.6424609318612113,0.8528693528693528,181,3.0
7,1.6355449608394077,0.72,1.6331415625980923,0.6914285714285714,182,4.0
10,0.7178987894739424,0.9035714285714286,0.7339980772563389,0.9035714285714286,183,3.0
11,1.9978985786437988,0.21875,2.0209929943084717,0.25,184,3.0
4,0.6658590921519749,0.7660475724991854,0.664661414190549,0.7658846529814272,185,5.0
12,0.11962917884535662,0.9920462762111352,0.1182256776109521,0.9920462762111352,186,3.0
2,1.1249043947428614,0.595771144278607,1.1336445239052844,0.5845771144278606,187,4.0
14,1.4284249487824328,0.45570866141732286,1.4320526432803298,0.45570866141732286,188,3.0
16,0.7478326282405965,0.6281685412120195,0.7455138147867865,0.6291757596105422,189,5.0
5,0.11957438098125399,0.9832535885167464,0.1206174578392905,0.9832535885167464,190,3.0
8,1.2633278242906028,0.48410829899941143,1.26251704690034,0.48145968216598,191,4.0
9,0.8501642753518694,0.7580694743313864,0.8529107943154319,0.7574546572394713,192,4.0
13,1.073743285318532,0.640231548480463,1.0745364660119527,0.638205499276411,193,4.0
15,0.6266913314881246,0.8417074255224545,0.6276146856452582,0.8417074255224545,194,4.0
19,1.5343363583516731,0.4633093525179856,1.5261360235351453,0.4633093525179856,195,4.0
0,1.137547325945186,0.6431137724550898,1.1373098730327127,0.6431137724550898,196,2.0
3,0.8912607061235528,0.6973684210526315,0.8931038649458635,0.6973684210526315,197,2.0
1,0.5719882980125434,0.8191404695582969,0.5728710830282795,0.8177477118981297,198,5.0
17,1.0887776562569715,0.4605343047965999,1.0898251437967157,0.45901639344262296,199,4.0
18,1.0177368987602686,0.7076969152440851,1.0184503799964297,0.7085953878406709,200,4.0
6,0.631661009875846,0.8528693528693528,0.633572487094609,0.8528693528693528,201,3.0
7,1.6171731901168824,0.6971428571428572,1.6122108691079275,0.7057142857142857,202,4.0
10,0.7246079325675965,0.9035714285714286,0.7387411883899144,0.9035714285714286,203,4.0
11,1.9883244037628174,0.28125,1.9812846183776855,0.15625,204,4.0
12,0.1122474738882231,0.9920462762111352,0.11319638061958728,0.9920462762111352,205,3.0
14,1.441002798831369,0.44881889763779526,1.4414320508326133,0.45177165354330706,206,2.0
4,0.660228447810801,0.7665363310524601,0.6623127870856453,0.7673509286412512,207,5.0
