Scanning all experiment results...
======================================================================================================================================================
COMPREHENSIVE EXPERIMENT RESULTS TABLE
======================================================================================================================================================

Total experiments found: 134


======================================================================================================================================================
FEDASYNC EXPERIMENTS (25 runs)
======================================================================================================================================================
Run Date     Exp ID   Alpha    Strag %  Clients  Rounds   Best Acc   Final Acc  Time (min)   Run Dir                                 
20251128     -        0.5      0        10       100      0.5455     0.5455     51.59        run_20251128_141842                     
20251128     -        0.5      0        10       100      0.6131     0.6087     77.42        run_20251128_151307                     
20251128     -        0.5      0        10       100      0.6496     0.5844     102.75       run_20251128_163442                     
20251128     -        0.5      0        10       100      0.6083     0.5968     76.81        run_20251128_182311                     
20251128     -        0.5      0        10       100      0.6214     0.6166     76.78        run_20251128_194416                     
20251128     -        0.5      0        10       100      0.5987     0.4687     76.60        run_20251128_210551                     
20251128     -        0.5      0        10       100      0.6405     0.6112     77.59        run_20251128_222706                     
20251128     -        0.5      0        10       100      0.6208     0.5788     82.61        run_20251128_234825                     
20251128     -        1.0      0        10       76       0.6280     0.6233     59.76        run_20251128_044309                     
20251128     -        1.0      0        10       100      0.6475     0.6324     79.05        run_20251128_084219                     
20251128     -        10.0     0        10       75       0.6511     0.6511     59.87        run_20251128_054308                     
20251128     -        10.0     0        10       100      0.6775     0.6715     79.85        run_20251128_100540                     
20251128     -        100.0    0        10       42       0.5843     0.5843     61.32        run_20251128_064308                     
20251128     -        100.0    0        10       100      0.6831     0.6799     80.04        run_20251128_112924                     
20251128     -        1000.0   0        10       100      0.6819     0.6755     80.72        run_20251128_125338                     
20251129     -        0.1      30       20       20       0.2044     0.1514     19.63        run_20251129_131742                     
20251130     Exp2     0.1      10       20       98       0.2340     0.1964     14.84        run_20251130_023823                     
20251130     Exp3     0.1      20       20       100      0.2244     0.1921     14.86        run_20251130_025520                     
20251130     Exp4     0.1      30       20       100      0.2329     0.1865     15.29        run_20251130_031202                     
20251130     Exp5     0.1      40       20       99       0.2393     0.2131     14.78        run_20251130_032912                     
20251130     Exp6     0.1      50       20       100      0.2602     0.1981     15.31        run_20251130_034557                     
20251130     Exp2     0.1      10       20       98       0.2340     0.1964     14.84        run_20251130_023823                     
20251130     Exp3     0.1      20       20       100      0.2244     0.1921     14.86        run_20251130_025520                     
20251130     Exp4     0.1      30       20       100      0.2329     0.1865     15.29        run_20251130_031202                     
20251130     Exp5     0.1      40       20       99       0.2393     0.2131     14.78        run_20251130_032912                     
20251130     Exp6     0.1      50       20       100      0.2602     0.1981     15.31        run_20251130_034557                     
20251130     Exp1     1000.0   0        20       99       0.3799     0.3750     15.27        run_20251130_022110                     
20251130     Exp1     1000.0   0        20       99       0.3799     0.3750     15.27        run_20251130_022110                     
20251130     Exp1     1000.0   0        20       147      0.4003     0.3892     21.26        run_20251130_053538                     

======================================================================================================================================================
TRUSTWEIGHT EXPERIMENTS (32 runs)
======================================================================================================================================================
Run Date     Exp ID   Alpha    Strag %  Clients  Rounds   Best Acc   Final Acc  Time (min)   Run Dir                                 
------------------------------------------------------------------------------------------------------------------------------------------------------
20251130     Exp2     0.1      10       20       90       0.1969     0.1702     14.84        run_20251130_015108                     
20251130     Exp2     0.1      10       20       80       0.1352     0.1183     13.16        run_20251130_093114                     
20251130     Exp2     0.1      10       20       24       0.1205     0.1011     4.18         run_20251130_094837                     
20251130     Exp3     0.1      20       20       24       0.1204     0.1016     4.16         run_20251130_095250                     
20251130     Exp4     0.1      30       20       24       0.1206     0.1025     4.18         run_20251130_095702                     
20251130     Exp5     0.1      40       20       24       0.1206     0.0993     4.17         run_20251130_100116                     
20251130     Exp6     0.1      50       20       24       0.1207     0.1010     4.23         run_20251130_100529                     
20251130     Exp2     0.1      10       20       80       0.1352     0.1183     13.16        run_20251130_093114                     
20251130     Exp2     0.1      10       20       24       0.1205     0.1011     4.18         run_20251130_094837                     
20251130     Exp2     0.1      10       20       5        0.1202     0.1126     1.28         run_20251130_104414                     
20251130     Exp2     0.1      10       20       504      0.2434     0.1946     81.09        run_20251130_122421                     
20251130     Exp3     0.1      20       20       24       0.1204     0.1016     4.16         run_20251130_095250                     
20251130     Exp3     0.1      20       20       5        0.1204     0.1108     1.30         run_20251130_104533                     
20251130     Exp3     0.1      20       20       504      0.2386     0.2010     80.82        run_20251130_134529                     
20251130     Exp4     0.1      30       20       24       0.1206     0.1025     4.18         run_20251130_095702                     
20251130     Exp4     0.1      30       20       5        0.1206     0.1100     1.32         run_20251130_104654                     
20251130     Exp4     0.1      30       20       504      0.2443     0.1712     80.45        run_20251130_150622                     
20251130     Exp5     0.1      40       20       24       0.1206     0.0993     4.17         run_20251130_100116                     
20251130     Exp5     0.1      40       20       24       0.1216     0.1011     4.21         run_20251130_104815                     
20251130     Exp5     0.1      40       20       504      0.2226     0.1872     80.22        run_20251130_162652                     
20251130     Exp6     0.1      50       20       24       0.1207     0.1010     4.23         run_20251130_100529                     
20251130     Exp6     0.1      50       20       24       0.1214     0.0977     4.21         run_20251130_105231                     
20251130     Exp6     0.1      50       20       504      0.2164     0.1978     80.69        run_20251130_174708                     
20251130     -        1000.0   0        20       24       0.1342     0.1342     4.36         run_20251130_021428                     
20251130     -        1000.0   0        20       24       0.1335     0.1335     4.14         run_20251130_022234                     
20251130     Exp1     1000.0   0        20       104      0.3689     0.3689     17.07        run_20251130_013402                     
20251130     Exp1     1000.0   0        20       24       0.1363     0.1347     3.91         run_20251130_092709                     
20251130     Exp1     1000.0   0        20       24       0.1355     0.1346     3.95         run_20251130_094437                     
20251130     Exp1     1000.0   0        20       24       0.1363     0.1347     3.91         run_20251130_092709                     
20251130     Exp1     1000.0   0        20       24       0.1355     0.1346     3.95         run_20251130_094437                     
20251130     Exp1     1000.0   0        20       5        0.1249     0.1249     1.10         run_20251130_104306                     
20251130     Exp1     1000.0   0        20       504      0.3694     0.3694     78.23        run_20251130_110604                     

======================================================================================================================================================
DETAILED STATISTICS BY METHOD
======================================================================================================================================================

FEDASYNC:
  Total runs: 25
  Valid results: 25
  Best accuracy range: 0.1000 - 0.2854 (avg: 0.1360)
  Final accuracy range: 0.1000 - 0.2839 (avg: 0.1337)
  Experiments by alpha:
    α=0.1: 9 runs, avg best acc: 0.1383
    α=0.5: 1 runs, avg best acc: 0.1015
    α=10.0: 4 runs, avg best acc: 0.1007
    α=1000.0: 11 runs, avg best acc: 0.1502

FEDBUFF:
  Total runs: 77
  Valid results: 77
  Best accuracy range: 0.0954 - 0.6831 (avg: 0.2737)
  Final accuracy range: 0.0894 - 0.6799 (avg: 0.2572)
  Experiments by alpha:
    α=0.1: 34 runs, avg best acc: 0.1728
    α=0.5: 23 runs, avg best acc: 0.3690
    α=1.0: 2 runs, avg best acc: 0.6378
    α=10.0: 6 runs, avg best acc: 0.2881
    α=100.0: 2 runs, avg best acc: 0.6337
    α=1000.0: 8 runs, avg best acc: 0.2802
    α=unknown: 2 runs, avg best acc: 0.1000

TRUSTWEIGHT:
  Total runs: 32
  Valid results: 32
  Best accuracy range: 0.1202 - 0.3694 (avg: 0.1599)
  Final accuracy range: 0.0977 - 0.3694 (avg: 0.1429)
  Experiments by alpha:
    α=0.1: 23 runs, avg best acc: 0.1497
    α=1000.0: 9 runs, avg best acc: 0.1861

✅ Detailed results saved to: all_experiments_summary.csv
