Exp,Config,TW_Round,TW_Acc,TW_Loss,TW_Time,TW_Train_Acc,TW_Train_Loss,FB_Round,FB_Acc,FB_Loss,FB_Time,FB_Train_Acc,FB_Train_Loss,Acc_Diff,Time_Diff
Exp1,"IID (alpha=1000), no stragglers",20,0.1311,2.293276949310303,3.7346041560173036,0.1603325415676959,2.246599949453902,21,0.2114,2.130292,3.5687833333333336,0.203039,2.191186,-0.08030000000000001,0.16582082268396992
Exp2,"alpha=0.1, 10% stragglers",20,0.1103,2.3224488872528077,3.854111075401306,0.7088948787061995,1.0891694949750736,20,0.1006,2.57499,3.5696166666666667,0.541935,1.505736,0.0097,0.2844944087346395
Exp3,"alpha=0.1, 20% stragglers",20,0.1084,2.3214557991027833,3.7770357886950174,0.7094938604372567,1.104901737315671,20,0.1246,2.417397,3.6521833333333333,0.547573,1.508817,-0.016200000000000006,0.1248524553616841
Exp4,"alpha=0.1, 30% stragglers",20,0.1066,2.3220929901123046,3.815162722269694,0.7079964061096137,1.0783826893373465,20,0.1002,2.397608,3.6353999999999997,0.565509,1.689492,0.006400000000000003,0.17976272226969447
Exp5,"alpha=0.1, 40% stragglers",20,0.1107,2.3206486618041993,3.8004517912864686,0.7076969152440851,1.071996968425866,18,0.1402,2.523001,3.2985666666666664,0.514882,1.483527,-0.029499999999999985,0.5018851246198022
Exp6,"alpha=0.1, 50% stragglers",20,0.1073,2.321651946258545,3.8651755452156067,0.7079964061096137,1.0746551254760297,20,0.1329,2.342727,3.58975,0.563306,1.684014,-0.025599999999999984,0.2754255452156067
