[env] python=3.13.7 torch=2.9.0 mps=True cuda=False
[epoch 82/100] train_loss=1.014109 val_acc=0.790800 test_acc=0.792300
[epoch 83/100] train_loss=1.012000 val_acc=0.792000 test_acc=0.794600
[epoch 84/100] train_loss=1.012111 val_acc=0.791400 test_acc=0.793700
[epoch 85/100] train_loss=1.007397 val_acc=0.791600 test_acc=0.793900
[epoch 86/100] train_loss=1.005808 val_acc=0.790600 test_acc=0.792100
[epoch 87/100] train_loss=1.008080 val_acc=0.791000 test_acc=0.794800
[epoch 88/100] train_loss=1.002770 val_acc=0.790100 test_acc=0.794800
[epoch 89/100] train_loss=1.002813 val_acc=0.790000 test_acc=0.794100
[epoch 90/100] train_loss=1.005592 val_acc=0.791600 test_acc=0.794600
[epoch 91/100] train_loss=0.999231 val_acc=0.790400 test_acc=0.794500
[epoch 92/100] train_loss=1.006875 val_acc=0.792800 test_acc=0.793800
[epoch 93/100] train_loss=1.001210 val_acc=0.794600 test_acc=0.794100
[epoch 94/100] train_loss=1.001456 val_acc=0.794300 test_acc=0.793100
[epoch 95/100] train_loss=1.003269 val_acc=0.793000 test_acc=0.794500
[epoch 96/100] train_loss=1.002973 val_acc=0.793200 test_acc=0.793500
[epoch 97/100] train_loss=0.999511 val_acc=0.794400 test_acc=0.795600
[epoch 98/100] train_loss=0.999926 val_acc=0.795800 test_acc=0.794300
[epoch 99/100] train_loss=1.000279 val_acc=0.794300 test_acc=0.794400
[epoch 100/100] train_loss=0.998086 val_acc=0.794000 test_acc=0.793800
