client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
2,1.5989761915266143,0.8664596273291926,1.6049320764423156,0.8664596273291926,1,0.0
0,1.1489036724052164,0.43687064291247096,1.1426429778083547,0.45778466305189774,2,1.0
3,0.6427085912745932,0.7782608695652173,0.6381958298061206,0.7760869565217391,3,2.0
7,0.9598900968173765,0.8852201257861635,0.960262675705196,0.8852201257861635,4,0.0
4,1.086880738134342,0.5618328560270763,1.0841292019655109,0.5605311116896642,5,4.0
5,0.3625247326925482,0.9110196326789107,0.36289519007406784,0.9110196326789107,6,4.0
1,0.9625573997532896,0.6685965724872627,0.9660064170293203,0.6685965724872627,7,6.0
6,0.6302278505563471,0.7997338656021291,0.6244502330426499,0.7992903082723442,8,5.0
10,0.07907376437231278,0.9907550077041603,0.08212034137867885,0.9907550077041603,9,2.0
9,0.1478781763504941,0.9892241379310345,0.14686020652859053,0.9892241379310345,10,3.0
8,0.4299749185511238,0.86832895888014,0.43507154636599993,0.8643919510061242,11,5.0
12,1.0791820428730625,0.6905965621840243,1.0769659797872884,0.6905965621840243,12,2.0
14,1.8136965281342807,0.660958904109589,1.8165449834849736,0.660958904109589,13,1.0
13,1.2620160631310073,0.49028317601332594,1.2659339287888667,0.49028317601332594,14,4.0
11,0.38833527218262714,0.870044953003678,0.38736648909354826,0.8710666121781774,15,7.0
15,0.22595537167959726,0.9903713892709766,0.22320617710789756,0.9903713892709766,16,3.0
16,2.0394770025582836,0.4031413612565445,2.0474247870020843,0.39790575916230364,17,3.0
19,0.5636557206409821,0.8089461713419257,0.5678622531475128,0.799090219863533,18,2.0
2,1.1570053544844159,0.8664596273291926,1.1574586970465524,0.8664596273291926,19,2.0
17,1.0189309456993452,0.6314971123944914,1.0143018707811753,0.6343847179031542,20,6.0
0,0.8556855652426492,0.7591014717273431,0.8576937332160708,0.7513555383423702,21,2.0
18,0.945070639841721,0.6335487749887269,0.9501591309844578,0.6333984668570569,22,7.0
7,0.5779641907919878,0.8852201257861635,0.5778155581756208,0.8852201257861635,23,2.0
3,0.6776544944099758,0.7907608695652174,0.6734408653300742,0.7896739130434782,24,5.0
4,1.0033861526254875,0.5883884405102838,1.008667386841321,0.5852642541004947,25,4.0
5,0.36885380934619544,0.9110196326789107,0.3610360057313205,0.9110196326789107,26,4.0
10,0.1050888569379808,0.9907550077041603,0.10269868501685546,0.9907550077041603,27,2.0
1,0.8255754212032264,0.7105141269106068,0.8239680079190252,0.7084298286243631,28,4.0
6,0.5877514084841148,0.8132623641605677,0.5844475180075898,0.8099356841871812,29,4.0
9,0.18189288602977466,0.9892241379310345,0.18025671399513074,0.9892241379310345,30,3.0
12,1.0719305862671686,0.6814964610717897,1.0677202629006428,0.6865520728008089,31,3.0
14,1.5340627121598753,0.6506849315068494,1.5318142306314755,0.6404109589041096,32,2.0
8,0.42052330463890014,0.8759842519685039,0.41534455171407364,0.8794838145231846,33,5.0
13,1.1690325188941257,0.5513603553581343,1.1861649607367677,0.5419211549139367,34,4.0
15,0.09532499081740844,0.9903713892709766,0.09415245023357491,0.9903713892709766,35,3.0
