time_sec,epoch,train_loss,val_acc,test_acc,lr,wd,batch,seed
8.729,1,2.292041,0.161400,0.163900,0.050000,0.000500,128,42
16.894,2,2.209558,0.174600,0.179500,0.050000,0.000500,128,42
25.194,3,2.114992,0.231300,0.226900,0.050000,0.000500,128,42
37.488,4,2.042742,0.275400,0.277600,0.050000,0.000500,128,42
51.530,5,1.945386,0.285800,0.283700,0.050000,0.000500,128,42
65.762,6,1.889887,0.340900,0.344000,0.050000,0.000500,128,42
79.089,7,1.845399,0.395100,0.394800,0.050000,0.000500,128,42
92.849,8,1.805803,0.435700,0.429400,0.050000,0.000500,128,42
106.183,9,1.774498,0.427100,0.422000,0.050000,0.000500,128,42
118.541,10,1.745078,0.452800,0.442600,0.050000,0.000500,128,42
132.765,11,1.708263,0.445900,0.439600,0.050000,0.000500,128,42
146.836,12,1.676261,0.507000,0.502500,0.050000,0.000500,128,42
161.024,13,1.632374,0.505100,0.504800,0.050000,0.000500,128,42
174.814,14,1.646743,0.468700,0.457000,0.050000,0.000500,128,42
189.120,15,1.611503,0.530000,0.533400,0.050000,0.000500,128,42
203.214,16,1.593698,0.543200,0.540800,0.050000,0.000500,128,42
217.679,17,1.574145,0.554700,0.553600,0.050000,0.000500,128,42
231.596,18,1.568157,0.489700,0.492500,0.050000,0.000500,128,42
245.819,19,1.566873,0.584400,0.576800,0.050000,0.000500,128,42
259.985,20,1.531092,0.563000,0.553500,0.050000,0.000500,128,42
274.145,21,1.534088,0.526900,0.523800,0.050000,0.000500,128,42
288.392,22,1.513728,0.601800,0.593400,0.050000,0.000500,128,42
302.446,23,1.499919,0.595100,0.586900,0.050000,0.000500,128,42
316.644,24,1.496069,0.602600,0.599300,0.050000,0.000500,128,42
330.935,25,1.485262,0.622000,0.616800,0.050000,0.000500,128,42
344.947,26,1.481149,0.612800,0.609300,0.050000,0.000500,128,42
359.386,27,1.475321,0.592500,0.588100,0.050000,0.000500,128,42
373.693,28,1.469463,0.623700,0.618600,0.050000,0.000500,128,42
387.984,29,1.465776,0.617300,0.625600,0.050000,0.000500,128,42
401.972,30,1.453729,0.597500,0.598400,0.050000,0.000500,128,42
416.487,31,1.429473,0.634700,0.633400,0.050000,0.000500,128,42
430.495,32,1.449074,0.619200,0.621700,0.050000,0.000500,128,42
445.030,33,1.422623,0.652700,0.643100,0.050000,0.000500,128,42
459.112,34,1.416130,0.634200,0.638000,0.050000,0.000500,128,42
473.244,35,1.418181,0.638100,0.632200,0.050000,0.000500,128,42
487.242,36,1.411046,0.612900,0.609900,0.050000,0.000500,128,42
501.235,37,1.400027,0.655500,0.656400,0.050000,0.000500,128,42
515.237,38,1.401208,0.597900,0.600400,0.050000,0.000500,128,42
529.148,39,1.395022,0.627500,0.622600,0.050000,0.000500,128,42
543.125,40,1.382496,0.625800,0.619500,0.050000,0.000500,128,42
557.121,41,1.375854,0.641700,0.630300,0.050000,0.000500,128,42
571.192,42,1.362224,0.674200,0.670500,0.050000,0.000500,128,42
585.148,43,1.366618,0.663800,0.659000,0.050000,0.000500,128,42
599.349,44,1.367564,0.650300,0.650900,0.050000,0.000500,128,42
613.238,45,1.366759,0.652300,0.646100,0.050000,0.000500,128,42
627.124,46,1.352864,0.651500,0.654000,0.050000,0.000500,128,42
642.801,47,1.358434,0.681900,0.675400,0.050000,0.000500,128,42
657.141,48,1.348271,0.649500,0.653200,0.050000,0.000500,128,42
671.038,49,1.348536,0.679500,0.679100,0.050000,0.000500,128,42
685.335,50,1.343507,0.696600,0.698300,0.050000,0.000500,128,42
699.019,51,1.330515,0.665500,0.667000,0.050000,0.000500,128,42
713.438,52,1.344278,0.695200,0.694700,0.050000,0.000500,128,42
727.457,53,1.338516,0.672700,0.676300,0.050000,0.000500,128,42
741.438,54,1.330955,0.661000,0.670700,0.050000,0.000500,128,42
755.574,55,1.330185,0.689700,0.691500,0.050000,0.000500,128,42
769.639,56,1.328303,0.683100,0.684000,0.050000,0.000500,128,42
783.861,57,1.311295,0.673300,0.672400,0.050000,0.000500,128,42
797.918,58,1.319234,0.687600,0.682800,0.050000,0.000500,128,42
811.970,59,1.318278,0.654000,0.652100,0.050000,0.000500,128,42
825.879,60,1.321479,0.680600,0.680700,0.050000,0.000500,128,42
840.114,61,1.163605,0.749500,0.757000,0.050000,0.000500,128,42
853.972,62,1.125156,0.758900,0.755900,0.050000,0.000500,128,42
867.920,63,1.105412,0.759500,0.756100,0.050000,0.000500,128,42
881.827,64,1.096934,0.759800,0.760400,0.050000,0.000500,128,42
895.821,65,1.089898,0.758000,0.757200,0.050000,0.000500,128,42
909.905,66,1.091786,0.769100,0.767000,0.050000,0.000500,128,42
